,safe_tweet,label,agreement
0,amp big homie meanboy stegman st,0.0,1.0
1,im thinking devoting career proving autism isnt caused vaccines due idiotic posts ive seen world autism day,1.0,1.0
2,vaccines vaccinate child,-1.0,1.0
3,mean immunize kid something wont secretly kill years line im dont trust,-1.0,1.0
4,thanks catch performing la nuit nyc st ave show starts,0.0,1.0
5,nearly year old study mental health studies vaccines relatively infancies refuted,1.0,0.6666666666666666
6,study kids finds link mmr vaccine autism,1.0,0.6666666666666666
7,psa vaccinate fucking kids,1.0,1.0
8,coughing extra shuttle everyone thinks measles,1.0,0.6666666666666666
9,aids vaccine created oregon health amp science university may clear virus body,1.0,0.6666666666666666
10,point text butwbon jovi cover playin alibis hope u come mmr bbquser will b,0.0,1.0
11,prediction vaccine exemption arizona will end soon much money lost big pharma,0.0,0.6666666666666666
12,getting vaccines cheryl southern nevada health district,1.0,1.0
13,mug noche mad hatter,0.0,1.0
14,got influenza vaccine purdue university student health push,1.0,0.6666666666666666
15,sb enroll meningococcal diseasepupils immunized recommended age,0.0,0.6666666666666666
16,increasing number parents skip vaccinations childrencolumbia missourian,0.0,1.0
17,thank standing ca parents children support,1.0,1.0
18,dude idc disney land measles means shorter lines rides im driving rn,0.0,1.0
19,beeftalk start calf vaccinations now via good article herd health,1.0,1.0
20,dont care says probably kids vaccinated,1.0,1.0
21,small study shows pts lupus shingles vaccine safe needs confirmed larger study,1.0,0.6666666666666666
22,cdc measles epidemic poses travel risks usatlyixdtv yes true zombie epidemic closing us,0.0,1.0
23,every time see vaccinate debate wonder one side argument even children,1.0,1.0
24,lied hid data black boys uncreased risk developing autism mmr help,-1.0,1.0
25,vaccines causing autism,-1.0,1.0
26,rarely see arguments vaccination actually big deal,0.0,0.6666666666666666
27,im obsessed w ebola following outbreak worlds deadliest disease vaccine cure amp death rate,1.0,0.6666666666666666
28,joshthenewt suck game haha well people say dont mmr eh,0.0,1.0
29,dont shake hand pocahontas thats probably measles now,0.0,0.6666666666666666
30,yes im part public health im part nature feed abandoned baby bird vaccinate privileged kids,1.0,1.0
31,new studies show vaccines associated autism news sky blue,1.0,1.0
32,repetitive less shocked increase asd even genetically high risk,1.0,1.0
33,glad got vaccinated health alert case meningitis reported monmouth university,1.0,1.0
34,look got measles,0.0,0.6666666666666666
35,defense vaccines harmful american life unhealthy,-1.0,0.3333333333333333
36,hello ranked reset probably bad placements mmr went went lol,0.0,1.0
37,amid measles outbreak vaccines teachers arent required much attention ongoing measles,0.0,0.6666666666666666
38,measles threat,0.0,0.6666666666666666
39,improve mood energy immunity cardio health kit profit thru,0.0,1.0
40,mt new bill end exemptions personal religious via,0.0,1.0
41,autism immunizations vaccinate,0.0,0.6666666666666666
42,bart riders warned measles infection contagious passenger oakland cbs sf bay area rapid transit,0.0,1.0
43,us cases hit year high far year cases measles reported unit,0.0,0.6666666666666666
44,pull myxx nightlife stint t performing live hosted,0.0,1.0
45,cdc eyeing bird flu vaccine humans though risk low federal officials said wednesday theyre taking steps,0.0,0.6666666666666666
46,involved fight preventable diseases tenure track opening,1.0,0.6666666666666666
47,im vaccinating kids lol,-1.0,1.0
48,alleged victim reviewing immunity paperwork resume testimony wo fear blackmail prosecution,0.0,1.0
49,thanksuser crystal clear lack evidence linking mmr autism noticed,1.0,0.6666666666666666
50,giving dvds vaccinating children bad,0.0,0.6666666666666666
51,hey nowuser mixmasterrods upstairs lounge,0.0,1.0
52,seriously dont want child antivaccination movement ended terrifying,1.0,1.0
53,epidemic enterovirus mumps now measles drug resistant tb next,0.0,1.0
54,said wasnt gone shit lol looked proved wrong baby,0.0,1.0
55,flu shots school boost vaccination rates offering flu shots elementary schools reduce number,0.0,0.6666666666666666
56,marin county school board sides young leukemia patient vaccinations,0.0,0.6666666666666666
57,still running niggas til death dibiasimb,0.0,1.0
58,yeah ill stick regular vaccines oh wait gives autism,-1.0,0.6666666666666666
59,antivaccine people want control people fear weaken herd immunityso anyone knows mind control,1.0,1.0
60,important measles update says working w,1.0,1.0
61,dont think will understand peoples reasons getting vaccinated vaccinating kids explain,1.0,0.6666666666666666
62,cia vaccination campaigns spy ops via harm protected medic status ruse will linger,-1.0,0.6666666666666666
63,measles outbreak prompts vaccination debate political debate rages measles outbreak spreads,0.0,1.0
64,people need children vaccinated bad diseases coming back,1.0,1.0
65,vaccine brain damage cover implodes discussing,-1.0,1.0
66,vaccines childrens clinic,0.0,0.6666666666666666
67,know infected measles airborne transmission wtf,0.0,1.0
68,access fitchburg school limited amid measles scare read neighbors,0.0,1.0
69,deadly kids allergies joke deadly child measles vaccinate every,1.0,1.0
70,measles,0.0,0.6666666666666666
71,topic makes scared bring kids modern society time start looking private schools mandate vaccines,1.0,1.0
72,stop blaming first now diseasesbrought ancestors,1.0,0.6666666666666666
73,already cure measles,0.0,1.0
74,cant attend school unless vaccinated,0.0,1.0
75,dont vaccinate children shitty parent end story,1.0,1.0
76,citizen kingdom god assignment diplomatic immunity fear man,0.0,1.0
77,top colorado doctor says adults worried measles vaccination measles outbreak,1.0,1.0
78,nah idiot someone doesnt allow kids vaccinated,1.0,1.0
79,kids need vaccinations late thcentury maps show measles mortality vaccines,1.0,1.0
80,measles fears spread nj amid suspected case,0.0,1.0
81,baby vaccination day shes getting measles one early fuckwits chicago dont vaccinate ensuring problem,1.0,1.0
82,loving measles poster making spirit today,0.0,1.0
83,baseball coach santa monica high contracts measles,0.0,1.0
84,im sick hearing people vaccinating children sick hearing peoples freedom insane dangerous things,1.0,1.0
85,one risky childrena vaccination going school car,0.0,0.6666666666666666
86,odds kid measles uses lab room,0.0,1.0
87,parents refuse kids immunized charged reckless endangerment kid gets another sick,1.0,1.0
88,rt vaccinations measles medicaid expansion,0.0,1.0
89,centers disease control years flu vaccine doesnt work,-1.0,0.6666666666666666
90,ty fought hard vaccinate kids yrs peoples judgements dont hurt smart,-1.0,0.6666666666666666
91,vaccinate people tarrant county cases five denton co traced megachurch,1.0,0.6666666666666666
92,hb new providing health insurance coverage immunizations administered pharmacy pharmacist,0.0,0.6666666666666666
93,a new revises codifies schedule childhood lead screening along immunization wellness,0.0,0.6666666666666666
94,fridays immunity challenge walking backwards safe time sure watch back,0.0,0.6666666666666666
95,s healthnut parents didnt vaccinate childhood,1.0,0.6666666666666666
96,people complain live longer releasing tension increases immunity improves overall health well good news,0.0,1.0
97,austerity vaccine crisis parasite pandemic potential drains life killing slowly,0.0,1.0
98,compensation autism brain damage illnesses vaccine court via,0.0,0.6666666666666666
99,seek bear w see state peoples hearts,0.0,0.6666666666666666
100,conservative neurosurgeon ben carson says vaccines public health issue thing agree,-1.0,0.6666666666666666
101,measles case confirmed plano isd school,0.0,1.0
102,youre reason people think vaccines cause autism,1.0,1.0
103,mmr studios,0.0,1.0
104,bdnwz measles kiddie parties thing gdnwz misinformed arrogant parents year awards,1.0,1.0
105,ok whats good u say politics borders wide open vaccines killing kids devaluation,-1.0,1.0
106,news measles cases four months england jenny mccarthy visited lately,0.0,0.6666666666666666
107,three babies cured hiv given vaccine birth via,0.0,0.6666666666666666
108,wants shot autism juicei mean measles vaccine,-1.0,1.0
109,lets use ebola step say dangerous kills thousands,1.0,0.6666666666666666
110,million children autismvaccine link,1.0,1.0
111,go ryno middle school vaccinations big shots tots ouachita parish health unit,1.0,1.0
112,dont bring measles ampamp ebola shit baltimore,0.0,0.6666666666666666
113,vaccine truth,0.0,0.6666666666666666
114,hell yeah think thinks baby immunity something,0.0,0.6666666666666666
