,clean_tweet,label,agreement
8627,"('vaccine', 'safety', 'side', 'effects', 'kids', 'found')",-1.0,0.3333333333333333
6394,"('dude', 'gotten', 'vaccinated', 'swag', 'virus', 'known', 'kill', 'younger', 'children', 'elderly', 'people')",1.0,1.0
8636,"('vaccine', 'horrors', 'medical', 'mutilation', 'children', 'exposed', 'graphic', 'photos', 'safe', 'vaccines', 'gone', 'horribly', 'wrong')",-1.0,1.0
323,"('mighty', 'mmr', 'music', 'money', 'records')",0.0,1.0
3254,"('average', 'people', 'complain', 'live', 'longer', 'releasing', 'tension', 'increases', 'immunity', 'boosts', 'healththat', 'us', 'bs')",0.0,1.0
5785,"('wakefield', 'published', 'original', 'claims', 'connection', 'mmr', 'autism', 'study', 'retracted', 'banned', 'practice')",1.0,0.6666666666666666
1770,"('less', 'people', 'easier', 'control', 'part', 'agenda', 'killing', 'us', 'vaccines', 'fluoride', 'water', 'gmos', 'etc')",-1.0,1.0
7808,"('aids', 'n', 'preventive', 'treatment', 'truvada', 'wont', 'stop', 'hiv', 'vaccine', 'last', 'month', 'global', 'public', 'health')",1.0,0.6666666666666666
5035,"('thought', 'couldnt', 'measles')",0.0,1.0
4913,"('aids', 'n', 'new', 'vaccines', 'malaria', 'hiv', 'ebola', 'spread', 'diseases', 'say', 'shocking', 'stats')",-1.0,0.6666666666666666
2931,"('good', 'job', 'great', 'half', 'vaccines', 'recommended', 'cdc', 'adol')",1.0,0.6666666666666666
5288,"('gov', 'snyder', 'signs', 'child', 'immunization', 'legislation', 'lansing', 'wwj', 'gov', 'rick', 'snyder', 'signed', 'package', 'bills')",1.0,0.6666666666666666
3165,"('new', 'vaccine', 'requirements', 'illinois', 'students', 'springfield', 'ill', 'ap', 'health', 'officials', 'reminding', 'illinois')",0.0,0.6666666666666666
8057,"('acidic', 'food', 'decreases', 'immunity', 'increases', 'growth', 'disease', 'amp', 'illness', 'body', 'sugar')",0.0,1.0
2429,"('measles', 'cases', 'linked', 'disney', 'theme', 'parks', 'california')",0.0,1.0
1474,"('know', 'vaccinations', 'responding', 'tweet', 'children', 'sick', 'adults', 'without', 'vaccines')",1.0,0.6666666666666666
6095,"('us', 'travelers', 'olympics', 'may', 'bring', 'home', 'measles', 'cdc', 'warns')",0.0,1.0
7819,"('disneyland', 'measles', 'cases', 'rose', 'least', 'patients', 'across', 'counties', 'including', 'con', 'ca', 'someone', 'foxy', 'glad', 'covering')",0.0,1.0
2590,"('good', 'hear', 'still', 'nonpoisoned', 'touch', 'immunity', 'iocaine', 'powder', 'either', 'way')",0.0,1.0
6656,"('vacs', 'protect', 'greater', 'society', 'babies', 'young', 'nation', 'took', 'polio', 'vaccine', 's')",1.0,1.0
5654,"('cases', 'linked', 'theme', 'park', 'wow')",0.0,1.0
1528,"('time', 'week', 'againuser', 'mixmasterrods', 'upstairs', 'lounge')",0.0,1.0
2388,"('stop', 'blaming', 'first', 'now', 'diseasesbrought', 'ancestors')",0.0,0.6666666666666666
1735,"('california', 'schools', 'advised', 'close', 'friday', 'due', 'measles', 'outbreak')",0.0,1.0
4435,"('number', 'tarrant', 'county', 'measles', 'cases', 'increases', 'health', 'officials', 'said', 'monday', 'nearly', 'measles')",0.0,1.0
8199,"('video', 'wass', 'funny', 'af')",0.0,1.0
1870,"('low', 'key', 'dont', 'even', 'know', 'go', 'school', 'wednesday', 'havent', 'gotten', 'vaccinated')",0.0,1.0
4692,"('lol', 'got', 'email', 'school', 'measles')",0.0,1.0
2304,"('free', 'immunization', 'amp', 'dental', 'event', 'brings', 'thousands', 'fox', 'sa', 'staffthousands', 'parents', 'children')",1.0,0.6666666666666666
